feature_id,Adipocyte,Cardiomyocyte,Cycling cells,Endothelial,Fibroblast,Lymphoid,Mast,Myeloid,Neuronal,Pericyte,vSMCs
ENSG00000147246,0.0005359407,0.0027761445,0.0005277398,0.00796172,0.0009609052,0.00053542387,0.0005393266,0.00049076835,0.0005273951,0.0022965036,0.00053210073
ENSG00000130224,0.00053554674,0.018209416,0.064080834,0.0565538,0.057194103,0.024942085,0.0005372202,0.0023302746,0.04607518,0.07289729,0.104183115
ENSG00000271826,0.0005461087,0.09948077,0.0005433653,0.018314874,0.016033176,0.000518063,0.0005383253,0.003014771,0.025243001,0.007690337,0.01787578
ENSG00000102024,0.3211543,0.99782735,0.08003951,0.30661985,0.28820494,0.07669501,0.084759966,0.06550315,0.33079594,0.29740262,0.45727792
ENSG00000235244,1.2860961,7.537152,0.30098864,0.29179066,1.3709197,0.20855132,0.3275904,0.20757121,0.245381,0.22382091,0.45939493
ENSG00000003096,0.0005330722,0.53132653,0.037556462,0.11309944,0.7108661,0.035003714,0.05440689,0.10144506,0.1853819,0.1567314,0.24949482
ENSG00000131725,0.000529304,0.5512075,0.42034617,0.189365,0.2262529,0.13943073,0.40171415,0.286771,0.11112085,0.11361638,0.2168295
ENSG00000147251,1.0238546,0.023135582,1.3892752,0.026626006,0.1831905,0.6115665,1.0285846,1.3038858,0.13044779,0.2859192,0.16038215
ENSG00000131724,0.0005395597,0.13833043,0.48062336,0.101193644,0.091583885,0.02709096,0.08877905,0.35877466,0.08330638,0.08916154,0.08650432
ENSG00000203650,0.00053603377,0.112366915,0.063610196,0.009572085,0.004081768,0.0005271923,0.060373876,0.008976109,0.055349592,0.0045484332,0.018930212
ENSG00000175556,0.0005390445,0.018358247,0.38976055,0.026767323,0.096438155,0.03144305,0.057965823,0.14760637,0.037349038,0.0025071972,0.047542546
ENSG00000101856,0.00052852323,0.045507744,0.0604569,0.026538778,0.029615838,0.010303191,0.055883236,0.0074033528,0.03447366,0.030924138,0.03916044
ENSG00000077713,0.8652461,0.03110026,0.40124846,0.06922493,0.25625288,0.13638148,0.12402413,0.22371884,0.13070983,0.11584452,0.16199863
ENSG00000005022,0.0005504082,0.090926476,0.058756717,0.03003424,0.026779883,0.036742393,0.0005311612,0.026654843,0.036694672,0.073944576,0.015703296
ENSG00000018610,0.00053285743,0.070288345,0.06251226,0.012548989,0.02541311,0.030453935,0.05600224,0.031447735,0.05338868,0.027850488,0.037984136
ENSG00000077721,0.0005284755,0.25427133,0.1286321,0.055397376,0.06492167,0.029177206,0.0862557,0.106508404,0.049851675,0.08009605,0.056411356
ENSG00000186416,0.51996386,0.054961644,0.061845116,0.011101152,0.02349383,0.0393953,0.0005169504,0.024195775,0.017450368,0.00847071,0.037094902
ENSG00000125354,0.0005330403,0.08983879,0.62128955,0.08480441,0.2752157,0.6464576,0.38730073,0.21976721,0.015676767,0.11874683,0.09699069
ENSG00000198918,0.33233827,0.14372203,0.23751743,0.17161907,0.13798879,0.18137829,0.124631755,0.14441365,0.16032486,0.15347472,0.11974766
ENSG00000125351,0.3306862,0.28711393,0.2395322,0.10094681,0.11729131,0.05607219,0.11780592,0.14099932,0.08907964,0.098566614,0.095390014
